	region	MATCHED	MATCHED_AMBIGUOUSLY	MATCHED_THOUGH_DISTANT	MATCHED_THOUGH_NAMES_DIFFER	MATCHED_THOUGH_OSM_NO_NAME	MATCHED_THOUGH_REVERSED_DIR	NO_MATCH	NO_MATCH_AND_SEEMS_UNSERVED	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED	Gesamt	district	BEZ	GEN
0	de:01001	366	0	0	1	1	2	9	74	35	488	de:01001	Kreisfreie Stadt	Flensburg
1	de:01002	774	0	0	8	2	10	11	227	28	1060	de:01002	Kreisfreie Stadt	Kiel
2	de:01003	848	0	0	6	2	0	1	39	22	918	de:01003	Kreisfreie Stadt	Lübeck
3	de:01004	408	0	6	0	0	14	14	44	17	503	de:01004	Kreisfreie Stadt	Neumünster
4	de:01051	829	0	6	6	37	7	181	151	246	1463	de:01051	Kreis	Dithmarschen
5	de:01053	1346	0	4	7	4	40	27	71	72	1571	de:01053	Kreis	Herzogtum Lauenburg
6	de:01054	1158	0	18	4	43	22	807	686	191	2929	de:01054	Kreis	Nordfriesland
7	de:01055	1447	0	13	1	26	42	173	221	154	2077	de:01055	Kreis	Ostholstein
8	de:01056	1168	0	1	0	0	4	37	144	18	1372	de:01056	Kreis	Pinneberg
9	de:01057	1169	0	3	9	50	11	63	116	42	1463	de:01057	Kreis	Plön
10	de:01058	2094	0	25	8	32	22	120	506	89	2896	de:01058	Kreis	Rendsburg-Eckernförde
11	de:01059	1591	0	9	13	87	69	551	289	279	2888	de:01059	Kreis	Schleswig-Flensburg
12	de:01060	1399	2	6	8	13	34	95	113	70	1740	de:01060	Kreis	Segeberg
13	de:01061	859	2	24	38	27	22	28	290	43	1333	de:01061	Kreis	Steinburg
14	de:01062	1450	0	5	10	3	26	10	205	81	1790	de:01062	Kreis	Stormarn
15	de:02000	4781	4	6	13	1	2	11	720	92	5630	de:02000	Kreisfreie Stadt	Hamburg
16	de:03101	942	0	2	8	3	4	3	314	65	1341	de:03101	Kreisfreie Stadt	Braunschweig
17	de:03102	433	0	13	0	4	5	76	50	42	623	de:03102	Kreisfreie Stadt	Salzgitter
18	de:03103	564	2	1	7	5	9	12	110	25	735	de:03103	Kreisfreie Stadt	Wolfsburg
19	de:03151	880	4	9	18	66	10	145	253	140	1525	de:03151	Landkreis	Gifhorn
20	de:03152	1184	0	4	0	6	22	7	144	26	1393			
21	de:03153	829	2	6	4	0	26	73	248	53	1241	de:03153	Landkreis	Goslar
22	de:03154	427	0	11	1	11	11	88	120	32	701	de:03154	Landkreis	Helmstedt
23	de:03155	809	0	16	2	15	13	42	219	48	1164	de:03155	Landkreis	Northeim
24	de:03156	352	0	9	0	0	13	8	92	7	481			
25	de:03157	561	2	2	0	1	45	13	148	51	823	de:03157	Landkreis	Peine
26	de:03158	632	0	5	5	7	22	76	115	52	914	de:03158	Landkreis	Wolfenbüttel
27	de:03159	162	0	3	1	4	3	12	97	24	306	de:03159	Landkreis	Göttingen
28	de:03241	3743	63	15	16	46	27	23	1410	105	5448	de:03241	Landkreis	Region Hannover
29	de:03251	1613	0	11	34	15	28	70	283	92	2146	de:03251	Landkreis	Diepholz
30	de:03252	764	2	1	3	57	14	212	135	107	1295	de:03252	Landkreis	Hameln-Pyrmont
31	de:03254	970	24	6	20	34	22	131	239	129	1575	de:03254	Landkreis	Hildesheim
32	de:03255	460	0	10	7	8	4	48	75	52	664	de:03255	Landkreis	Holzminden
33	de:03256	876	0	17	5	37	24	251	96	88	1394	de:03256	Landkreis	Nienburg (Weser)
34	de:03257	898	41	11	16	9	39	105	180	73	1372	de:03257	Landkreis	Schaumburg
35	de:03351	820	50	7	14	24	82	89	224	49	1359	de:03351	Landkreis	Celle
36	de:03352	1899	4	24	16	33	90	69	667	114	2916	de:03352	Landkreis	Cuxhaven
37	de:03353	1583	2	1	9	6	91	37	142	56	1927	de:03353	Landkreis	Harburg
38	de:03354	694	0	6	17	9	14	5	92	153	990	de:03354	Landkreis	Lüchow-Dannenberg
39	de:03355	1231	2	0	6	4	9	12	232	12	1508	de:03355	Landkreis	Lüneburg
40	de:03356	915	0	6	5	10	9	28	299	90	1362	de:03356	Landkreis	Osterholz
41	de:03357	1157	0	36	5	13	17	228	482	217	2155	de:03357	Landkreis	Rotenburg (Wümme)
42	de:03358	1042	0	18	2	16	1	82	246	165	1572	de:03358	Landkreis	Heidekreis
43	de:03359	1516	0	6	5	13	6	96	252	109	2003	de:03359	Landkreis	Stade
44	de:03360	715	0	15	2	19	1	72	100	134	1058	de:03360	Landkreis	Uelzen
45	de:03361	930	0	6	10	17	15	144	151	48	1321	de:03361	Landkreis	Verden
46	de:03401	405	0	1	3	0	7	0	12	15	443	de:03401	Kreisfreie Stadt	Delmenhorst
47	de:03402	270	0	4	1	0	5	6	36	16	338	de:03402	Kreisfreie Stadt	Emden
48	de:03403	658	2	0	7	4	8	3	68	16	766	de:03403	Kreisfreie Stadt	Oldenburg (Oldb)
49	de:03404	660	0	1	1	4	3	4	161	46	880	de:03404	Kreisfreie Stadt	Osnabrück
50	de:03405	319	0	0	6	2	4	5	22	6	364	de:03405	Kreisfreie Stadt	Wilhelmshaven
51	de:03451	933	0	1	29	5	23	31	140	55	1217	de:03451	Landkreis	Ammerland
52	de:03452	1062	0	19	47	32	9	373	200	185	1927	de:03452	Landkreis	Aurich
53	de:03453	628	6	6	22	73	9	352	331	98	1525	de:03453	Landkreis	Cloppenburg
54	de:03454	523	845	3	35	41	3	204	517	3	2174	de:03454	Landkreis	Emsland
55	de:03455	567	0	10	13	13	10	76	80	62	831	de:03455	Landkreis	Friesland
56	de:03456	219	562	2	33	9	4	139	157	0	1125	de:03456	Landkreis	Grafschaft Bentheim
57	de:03457	1236	0	21	40	5	7	61	120	141	1631	de:03457	Landkreis	Leer
58	de:03458	1184	0	8	46	2	39	25	144	44	1492	de:03458	Landkreis	Oldenburg
59	de:03459	1905	0	20	59	83	29	1038	350	509	3993	de:03459	Landkreis	Osnabrück
60	de:03460	406	0	12	11	47	9	249	441	125	1300	de:03460	Landkreis	Vechta
61	de:03461	907	0	8	65	3	8	75	80	44	1190	de:03461	Landkreis	Wesermarsch
62	de:03462	456	0	9	16	5	1	77	140	61	765	de:03462	Landkreis	Wittmund
63	de:04011	1487	6	0	13	3	4	6	370	80	1969	de:04011	Kreisfreie Stadt	Bremen
64	de:04012	390	4	0	1	0	2	0	81	12	490	de:04012	Kreisfreie Stadt	Bremerhaven
65	de:05111	1790	107	0	8	2	5	0	332	36	2280	de:05111	Kreisfreie Stadt	Düsseldorf
66	de:05112	1405	4	0	6	3	11	21	154	56	1660	de:05112	Kreisfreie Stadt	Duisburg
67	de:05113	1767	11	2	8	8	9	1	236	89	2131	de:05113	Kreisfreie Stadt	Essen
68	de:05114	804	23	0	16	14	13	12	96	43	1021	de:05114	Kreisfreie Stadt	Krefeld
69	de:05116	1045	0	9	30	4	91	1	71	20	1271	de:05116	Kreisfreie Stadt	Mönchengladbach
70	de:05117	663	0	4	8	1	0	0	94	37	807	de:05117	Kreisfreie Stadt	Mülheim an der Ruhr
71	de:05119	744	2	0	0	1	4	4	32	21	808	de:05119	Kreisfreie Stadt	Oberhausen
72	de:05120	587	28	1	0	1	0	0	151	35	803	de:05120	Kreisfreie Stadt	Remscheid
