	Ortsteil	Haltestelle	globaleID	lat	lon	mode	match_state	osm_id	distance	rating	osm_name	routes	official_direction	osm_direction	WKT
0	Delmenhorst	Abernettistraße	de:03401:19647::1	53.010689	8.60728	bus	MATCHED	n286581840	0.8	0.94	Abernettistraße	204,218	Delmenhorst Boelckestraße	Boelkestraße	LINESTRING(8.60728 53.010689,8.6072909 53.0106875)
1	Delmenhorst	Abernettistraße	de:03401:19647::2	53.01036	8.606579	bus	MATCHED	n286590282	1.5	0.91	Abernettistraße	204,218	Delmenhorst Holzkamper Damm	Holzkamper Damm	LINESTRING(8.606579 53.01036,8.6065909 53.010349000000005)
2	Delmenhorst	Achternweg	de:03401:19648::1	53.053364	8.678453	bus	MATCHED	n282379849	3.4	0.84	Achternweg	214	Delmenhorst Stickgras	Stickgras	LINESTRING(8.678453 53.053364,8.6784405 53.0533937)
3	Delmenhorst	Achternweg	de:03401:19648::2	53.053003	8.678468	bus	MATCHED	n282379848	1.2	0.92	Achternweg	214	Delmenhorst-Heidkrug Bahnhof	Bahnhof Heidkrug	LINESTRING(8.678468 53.053003,8.6784763 53.0529936)
4	Delmenhorst	Adelheide/Kaserne	de:03401:19649::1	53.007565	8.59804	bus	MATCHED	n286589827	5.5	0.68	Adelheide/Kaserne	204,218	Delmenhorst Boelckestraße	Boelkestraße	LINESTRING(8.59804 53.007565,8.598012500000001 53.0075182)
5	Delmenhorst	Ahnbeker Straße	de:03401:19650::1	53.066698	8.613097	bus	MATCHED	n298756983	24.3	0.53	Ahnbeker Straße	221,256	Delmenhorst Nutzhorner Straße	Nutzhorner Straße	LINESTRING(8.613097 53.066698,8.613187400000001 53.0664862)
6	Delmenhorst	Ahnbeker Straße	de:03401:19650::2	53.066876	8.612978	bus	MATCHED	n298756299	8.0	0.73	Ahnbeker Straße	221,256	Hoykenkamp Alter Wehrgraben	Alter Wehrgraben	LINESTRING(8.612978 53.066876,8.6130919 53.0668981)
7	Delmenhorst	Akazienstraße	de:03401:19651::1	53.058553	8.656109	bus	MATCHED	n286611173	4.7	0.81	Akazienstraße	207,212	Delmenhorst Kreuzweg	Kreuzweg	LINESTRING(8.656109 53.058553,8.6561433 53.0585894)
8	Delmenhorst	Akazienstraße	de:03401:19651::2	53.058799	8.655242	bus	MATCHED	n286610295	2.8	0.79	Akazienstraße	207,212	Delmenhorst Kreuzweg / Delmenhorst Pferdekoppel	Pferdekoppel	LINESTRING(8.655242 53.058799,8.655243200000001 53.0587737)
9	Delmenhorst	Alrusch	de:03401:19837::1	53.06928	8.684444		MATCHED	n11386237953	3.6	0.71	Alrusch			Hasbergen / Grüner Weg / Blumenthaler Straße	LINESTRING(8.684444 53.06928,8.684447500000001 53.0693124)
10	Delmenhorst	Alrusch	de:03401:19837::2	53.067572	8.687559	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					207	Delmenhorst Blumenthaler Straße		POINT(8.687559 53.067572)
11	Delmenhorst	Alrusch	de:03401:19837::3	53.06777	8.687916	bus	NO_MATCH_BUT_OTHER_PLATFORM_MATCHED					207	Delmenhorst Grüner Weg		POINT(8.687916 53.06777)
12	Delmenhorst	Altenburger Straße	de:03401:19652::1	53.021891	8.629292	bus	MATCHED	n286368578	4.9	0.8	Altenburger Straße	205	Delmenhorst Gothaer Straße	Gothaer Straße	LINESTRING(8.629292 53.021891,8.6292548 53.021852800000005)
13	Delmenhorst	Altenburger Straße	de:03401:19652::2	53.022007	8.628978	bus	MATCHED	n286369122	6.5	0.76	Altenburger Straße	204,215	Delmenhorst Chemnitzer Straße	Chemnitzer Straße	LINESTRING(8.628978 53.022007,8.629009700000001 53.0220618)
